This file was created using the 201712 Bloomberg database.

Missing data are indicated by -99.99.



,Mkt-RF,SMB,HML,RF
201507    ,1.14   ,-3.06   ,-3.30    ,0.00
201508   ,-6.17    ,1.22    ,1.15    ,0.00
201509   ,-3.91   ,-0.21   ,-0.93    ,0.00
201510    ,7.32   ,-2.33    ,0.24    ,0.00
201511   ,-0.31    ,1.75   ,-1.95    ,0.00
201512   ,-1.74    ,0.96   ,-1.54    ,0.01
201601   ,-6.32   ,-2.13    ,0.81    ,0.01
201602   ,-0.50    ,0.85   ,-0.20    ,0.02
201603    ,6.91    ,1.24    ,0.50    ,0.02
201604    ,1.91    ,1.07    ,2.97    ,0.01
201605    ,0.45    ,0.02   ,-2.06    ,0.01
201606   ,-1.67   ,-0.47   ,-0.71    ,0.02
201607    ,4.48    ,1.32    ,0.32    ,0.02
201608    ,0.29    ,0.36    ,2.26    ,0.02
201609    ,0.89    ,2.22   ,-1.15    ,0.02
201610   ,-1.88   ,-1.60    ,4.26    ,0.02
201611    ,1.39    ,0.23    ,4.30    ,0.01
201612    ,2.25   ,-0.49    ,2.74    ,0.03
201701    ,2.72    ,0.36   ,-0.59    ,0.04
201702    ,2.28   ,-0.63   ,-1.79    ,0.04
201703    ,1.48    ,0.40   ,-1.73    ,0.03
201704    ,1.87    ,0.47   ,-1.37    ,0.05
201705    ,2.20   ,-0.38   ,-2.67    ,0.06
201706    ,0.59    ,1.70    ,1.54    ,0.06
201707    ,2.51   ,-0.11    ,1.16    ,0.07
201708    ,0.15   ,-0.13   ,-1.36    ,0.07
201709    ,2.30    ,1.31    ,1.54    ,0.09
201710    ,1.80   ,-0.85   ,-0.95    ,0.09
201711    ,1.93   ,-0.68   ,-0.26    ,0.08
201712    ,1.38    ,0.94    ,0.14    ,0.09



 Annual Factors: January-December
,Mkt-RF,SMB,HML,RF
1991   ,11.92    ,2.59   ,-5.92    ,5.60
1992   ,-9.71    ,1.53    ,6.21    ,3.51
1993   ,19.11    ,9.50   ,17.52    ,2.90
1994    ,2.31   ,-0.11    ,6.87    ,3.90
1995   ,12.97   ,-1.82   ,-4.86    ,5.60
1996    ,7.23   ,-2.26    ,7.03    ,5.21
1997    ,8.50  ,-17.53    ,6.15    ,5.26
1998   ,15.88  ,-16.53   ,-7.62    ,4.86
1999   ,24.63   ,11.12  ,-29.19    ,4.68
2000  ,-18.45   ,-4.65   ,37.03    ,5.89
2001  ,-19.68    ,4.23   ,20.65    ,3.83
2002  ,-18.81    ,5.13   ,16.39    ,1.65
2003   ,36.34   ,20.68   ,12.11    ,1.02
2004   ,16.22    ,8.90   ,10.34    ,1.20
2005    ,8.76    ,6.16    ,7.12    ,2.98
2006   ,16.04   ,-4.06   ,10.61    ,4.80
2007    ,5.33   ,-7.73   ,-3.59    ,4.66
2008  ,-42.01   ,-2.16    ,2.36    ,1.60
2009   ,31.67    ,9.85   ,-4.51    ,0.10
2010   ,14.06   ,12.03   ,-4.32    ,0.12
2011   ,-6.94   ,-5.60   ,-4.57    ,0.04
2012   ,16.89   ,-2.85    ,6.37    ,0.06
2013   ,28.67    ,1.42    ,2.21    ,0.02
2014    ,3.28   ,-5.57   ,-3.47    ,0.02
2015   ,-0.37    ,3.67  ,-10.01    ,0.02
2016    ,7.90    ,2.59   ,15.28    ,0.20
2017   ,23.51    ,2.95   ,-7.82    ,0.79
